Tid,Rum Temp,Vandrør,Diff
09-01-23 13:50:52,23.125,23.125,0.0
09-01-23 13:51:01,23.25,23.125,0.0625
09-01-23 13:51:32,23.1875,24.5,-1.3125
09-01-23 13:51:36,23.1875,24.5,-1.3125
09-01-23 13:51:42,23.1875,24.5,-1.3125
09-01-23 13:52:01,23.125,23.75,-0.6875
09-01-23 13:52:01,20.1875,20.8125,-0.625
09-01-23 14:36:35,20.1875,20.375,-0.1875
09-01-23 14:37:01,20.125,20.3125,-0.125
09-01-23 14:38:01,20.125,18.8125,1.1875
09-01-23 14:39:01,20.125,16.75,3.3125
09-01-23 14:40:01,20.125,16.1875,4.0
09-01-23 14:41:01,20.0625,15.9375,4.125
09-01-23 14:42:02,20.1875,16.1875,4.0
09-01-23 14:43:01,20.0625,16.1875,3.875
09-01-23 14:44:01,20.0,16.125,3.875
09-01-23 14:45:01,20.0,16.125,3.875
09-01-23 14:46:01,19.9375,16.1875,3.75
09-01-23 14:47:01,20.0,16.3125,3.625
09-01-23 14:48:01,20.0,16.4375,3.5
09-01-23 14:49:01,19.9375,15.5625,4.375
09-01-23 14:50:01,20.0625,15.25,4.8125
09-01-23 14:51:02,20.125,15.5,4.6875
09-01-23 14:52:01,20.1875,15.625,4.5625
09-01-23 14:53:01,20.25,15.8125,4.4375
09-01-23 14:54:01,20.3125,16.0,4.375
09-01-23 14:55:01,20.375,16.125,4.25
09-01-23 14:56:01,20.5,16.25,4.25
09-01-23 14:57:01,20.5,16.375,4.125
09-01-23 14:58:02,20.5,16.5,4.0
09-01-23 14:59:01,20.5625,16.625,3.875
09-01-23 15:00:02,20.5625,16.75,3.875
09-01-23 15:01:01,20.5625,16.8125,3.75
09-01-23 15:02:01,20.625,16.9375,3.75
09-01-23 15:03:01,20.625,17.0,3.625
09-01-23 15:04:01,20.6875,17.125,3.625
09-01-23 15:05:02,20.6875,17.1875,3.5
09-01-23 15:06:01,20.6875,17.3125,3.375
09-01-23 15:07:01,20.75,17.375,3.3125
09-01-23 15:08:01,20.75,17.4375,3.3125
09-01-23 15:09:01,20.75,17.5625,3.25
09-01-23 15:10:01,20.8125,17.625,3.1875
09-01-23 15:11:01,20.8125,17.6875,3.125
09-01-23 15:12:02,20.8125,17.8125,3.0
09-01-23 15:13:01,20.875,17.875,3.0625
09-01-23 15:14:02,20.875,17.9375,2.9375
09-01-23 15:15:01,20.875,18.0,2.875
09-01-23 15:16:01,20.875,18.0625,2.8125
09-01-23 15:17:01,20.9375,18.1875,2.8125
09-01-23 15:18:01,20.9375,18.1875,2.75
09-01-23 15:19:02,20.9375,18.25,2.6875
09-01-23 15:20:01,20.9375,18.375,2.625
09-01-23 15:21:02,20.9375,18.4375,2.5625
09-01-23 15:22:01,21.0,18.4375,2.5625
09-01-23 15:23:01,21.0,18.5,2.5
09-01-23 15:24:01,21.0,18.5625,2.4375
09-01-23 15:25:01,21.0,18.625,2.5
09-01-23 15:26:02,21.0625,18.6875,2.375
09-01-23 15:27:01,21.0625,18.6875,2.3125
09-01-23 15:28:01,21.0625,18.8125,2.3125
09-01-23 15:29:01,21.0625,18.8125,2.25
09-01-23 15:30:01,21.0625,18.875,2.1875
09-01-23 15:31:01,21.0625,18.9375,2.125
09-01-23 15:32:01,21.0625,19.0,2.125
09-01-23 15:33:02,21.0625,19.0,2.0625
09-01-23 15:34:01,21.0625,19.0625,2.0
09-01-23 15:35:01,21.125,19.125,2.0
09-01-23 15:36:01,21.125,19.125,2.0
09-01-23 15:37:01,21.125,19.1875,1.9375
09-01-23 15:38:02,21.125,19.1875,1.9375
09-01-23 15:39:01,21.125,19.25,1.875
09-01-23 15:40:02,21.125,19.3125,1.8125
09-01-23 15:41:01,21.1875,19.375,1.8125
09-01-23 15:42:01,21.1875,19.375,1.75
09-01-23 15:43:01,21.1875,19.4375,1.75
09-01-23 15:44:01,21.1875,19.4375,1.75
09-01-23 15:45:01,21.1875,19.5,1.6875
09-01-23 15:46:01,21.1875,19.5,1.6875
09-01-23 15:47:02,21.1875,19.5625,1.625
09-01-23 15:48:01,21.1875,19.5625,1.625
09-01-23 15:49:01,21.1875,19.625,1.5625
09-01-23 15:50:01,21.1875,19.625,1.5625
09-01-23 15:51:01,21.25,19.6875,1.5
09-01-23 15:52:01,21.0625,19.5,1.5625
09-01-23 15:53:01,21.0,19.4375,1.5625
09-01-23 15:54:02,21.0,18.0625,2.9375
09-01-23 15:55:01,20.875,17.4375,3.4375
09-01-23 15:56:02,20.625,16.875,3.6875
09-01-23 15:57:01,20.4375,16.75,3.6875
09-01-23 15:58:01,20.375,16.75,3.5625
09-01-23 15:59:01,20.25,16.75,3.5
09-01-23 16:00:01,20.125,16.8125,3.3125
09-01-23 16:01:02,20.125,16.9375,3.25
09-01-23 16:02:01,20.125,17.0,3.125
09-01-23 16:03:02,20.125,17.0625,3.0625
09-01-23 16:04:01,20.375,17.4375,2.9375
09-01-23 16:05:01,20.4375,17.5625,2.875
09-01-23 16:06:01,20.5,17.125,3.375
09-01-23 16:07:01,20.625,16.875,3.8125
09-01-23 16:08:02,20.75,16.8125,3.875
09-01-23 16:09:01,20.8125,16.9375,3.875
09-01-23 16:10:01,20.875,17.0625,3.875
09-01-23 16:11:01,20.9375,17.125,3.8125
09-01-23 16:12:01,20.9375,16.875,4.0625
09-01-23 16:13:01,21.0,16.5625,4.4375
09-01-23 16:14:01,21.0,16.625,4.4375
09-01-23 16:15:02,21.0625,16.6875,4.375
09-01-23 16:16:01,21.0625,16.75,4.3125
09-01-23 16:17:01,21.0625,16.875,4.25
09-01-23 16:18:01,21.125,17.0,4.125
09-01-23 16:19:01,21.0,17.0,4.0625
09-01-23 16:20:01,21.0625,17.125,3.9375
09-01-23 16:21:01,21.0625,17.25,3.8125
09-01-23 16:22:02,21.125,17.375,3.8125
09-01-23 16:23:01,21.125,17.5,3.75
09-01-23 16:24:02,21.125,17.5625,3.625
09-01-23 16:25:01,21.1875,17.6875,3.5
09-01-23 16:26:01,21.1875,17.75,3.4375
09-01-23 16:27:01,21.1875,17.8125,3.375
09-01-23 16:28:01,21.1875,17.9375,3.3125
09-01-23 16:29:02,21.1875,18.0,3.1875
09-01-23 16:30:01,21.1875,18.125,3.125
09-01-23 16:31:02,21.25,18.1875,3.0625
09-01-23 16:32:01,21.25,18.25,3.0
09-01-23 16:33:01,21.25,18.3125,2.9375
09-01-23 16:34:01,21.25,18.375,2.875
09-01-23 16:35:01,21.25,18.5,2.75
09-01-23 16:36:01,21.25,18.5625,2.6875
09-01-23 16:37:01,21.3125,18.5625,2.6875
09-01-23 16:38:02,21.25,18.625,2.625
09-01-23 16:39:01,21.25,18.6875,2.5625
09-01-23 16:40:01,21.3125,18.8125,2.5
09-01-23 16:41:01,21.3125,18.875,2.5
09-01-23 16:42:01,21.375,18.9375,2.375
09-01-23 16:43:01,21.375,17.5625,3.8125
09-01-23 16:44:01,21.375,17.3125,4.0625
09-01-23 16:45:02,21.4375,17.25,4.125
09-01-23 16:46:01,21.4375,17.3125,4.125
09-01-23 16:47:01,21.4375,17.4375,4.0
09-01-23 16:48:01,21.4375,17.3125,4.125
09-01-23 16:49:01,21.4375,17.3125,4.125
09-01-23 16:50:01,21.5,17.3125,4.125
09-01-23 16:51:01,21.5,17.4375,4.0625
09-01-23 16:52:02,21.5,17.5,4.0
09-01-23 16:53:01,21.5,17.625,3.875
09-01-23 16:54:01,21.5,17.6875,3.8125
09-01-23 16:55:01,21.5,17.8125,3.6875
09-01-23 16:56:01,21.5625,17.875,3.625
09-01-23 16:57:01,21.5625,17.9375,3.5625
09-01-23 16:58:01,21.5625,18.0625,3.5625
09-01-23 16:59:02,21.5625,18.1875,3.375
09-01-23 17:00:01,21.5625,18.25,3.3125
09-01-23 17:01:01,21.5625,18.375,3.25
09-01-23 17:02:01,21.5625,18.4375,3.1875
09-01-23 17:03:01,21.5625,18.5,3.0625
09-01-23 17:04:01,21.5625,18.5625,3.0625
09-01-23 17:05:01,21.5625,18.625,3.0
09-01-23 17:06:02,21.5625,18.6875,2.875
09-01-23 17:07:01,21.5625,17.75,3.8125
09-01-23 17:08:01,21.5625,17.5,4.0625
09-01-23 17:09:01,21.5625,17.5,4.0625
09-01-23 17:10:01,21.5625,17.5625,4.0
09-01-23 17:11:01,21.5625,17.375,4.25
09-01-23 17:12:01,21.5625,17.4375,4.1875
09-01-23 17:13:02,21.5625,17.5,4.0625
09-01-23 17:14:01,21.5625,17.5625,4.0
09-01-23 17:15:02,21.5625,17.6875,3.875
09-01-23 17:16:01,21.5625,17.4375,4.1875
09-01-23 17:17:01,21.5625,17.375,4.25
09-01-23 17:18:01,21.5625,17.3125,4.25
09-01-23 17:19:01,21.5625,17.125,4.375
09-01-23 17:20:01,21.5625,17.125,4.4375
09-01-23 17:21:01,21.5625,17.0625,4.5625
09-01-23 17:22:02,21.5625,16.875,4.75
09-01-23 17:23:01,21.5625,16.625,4.875
09-01-23 17:24:02,21.5625,16.5625,4.9375
09-01-23 17:25:01,21.5625,16.5,5.0625
09-01-23 17:26:01,21.5,16.4375,5.0625
09-01-23 17:27:01,21.5,16.5,5.0625
09-01-23 17:28:01,21.5,16.625,4.875
09-01-23 17:29:02,21.5,16.75,4.75
09-01-23 17:30:01,21.5,16.8125,4.6875
09-01-23 17:31:01,21.5,16.9375,4.5
09-01-23 17:32:01,21.5,17.125,4.375
09-01-23 17:33:01,21.4375,17.1875,4.3125
09-01-23 17:34:01,21.5,17.3125,4.125
09-01-23 17:35:01,21.5,17.375,4.0625
09-01-23 17:36:02,21.4375,17.5,3.9375
09-01-23 17:37:01,21.4375,17.5625,3.875
09-01-23 17:38:02,21.4375,17.75,3.75
09-01-23 17:39:01,21.4375,17.125,4.375
09-01-23 17:40:01,21.4375,16.9375,4.5
09-01-23 17:41:01,21.4375,16.9375,4.5
09-01-23 17:42:01,21.4375,17.0,4.5
09-01-23 17:43:01,21.5,17.125,4.3125
09-01-23 17:44:01,21.5,17.0,4.4375
09-01-23 17:45:02,21.5,16.75,4.6875
09-01-23 17:46:01,21.5,16.8125,4.6875
09-01-23 17:47:01,21.5,16.75,4.6875
09-01-23 17:48:01,21.4375,16.3125,5.125
09-01-23 17:49:01,21.5,15.875,5.5625
09-01-23 17:50:01,21.4375,15.8125,5.625
09-01-23 17:51:01,21.4375,15.9375,5.5
09-01-23 17:52:02,21.4375,15.75,5.6875
09-01-23 17:53:01,21.4375,15.8125,5.6875
09-01-23 17:54:01,21.4375,15.875,5.5625
09-01-23 17:55:01,21.4375,16.0625,5.4375
09-01-23 17:56:01,21.4375,16.1875,5.25
09-01-23 17:57:01,21.1875,16.25,4.9375
09-01-23 17:58:01,20.6875,15.8125,4.8125
09-01-23 17:59:02,20.4375,15.625,4.8125
09-01-23 18:00:01,20.3125,15.625,4.6875
09-01-23 18:01:01,20.1875,15.75,4.4375
09-01-23 18:02:01,20.3125,16.125,4.1875
09-01-23 18:03:01,20.4375,16.4375,4.0
09-01-23 18:04:01,20.4375,16.5625,3.875
09-01-23 18:05:01,20.5,16.6875,3.8125
09-01-23 18:06:02,20.5625,16.875,3.75
09-01-23 18:07:01,20.5625,16.9375,3.625
09-01-23 18:08:01,20.625,17.0625,3.625
09-01-23 18:09:01,20.625,17.125,3.5
09-01-23 18:10:01,20.625,17.1875,3.4375
09-01-23 18:11:01,20.625,17.25,3.375
09-01-23 18:12:01,20.625,17.375,3.3125
09-01-23 18:13:02,20.625,17.375,3.25
09-01-23 18:14:01,20.625,17.5,3.125
09-01-23 18:15:02,20.6875,17.625,3.0625
09-01-23 18:16:01,20.8125,17.8125,3.0
09-01-23 18:17:01,20.875,17.9375,2.9375
09-01-23 18:18:01,20.75,17.9375,2.8125
09-01-23 18:19:01,20.75,17.9375,2.8125
09-01-23 18:20:02,20.6875,18.0,2.6875
09-01-23 18:21:01,20.6875,18.0,2.6875
09-01-23 18:22:02,20.6875,17.0,3.625
09-01-23 18:23:01,20.75,16.375,4.3125
09-01-23 18:24:01,20.6875,16.375,4.3125
09-01-23 18:25:01,20.6875,16.5,4.25
09-01-23 18:26:01,20.75,16.5625,4.125
09-01-23 18:27:02,20.75,16.625,4.0625
09-01-23 18:28:01,20.625,16.125,4.5
09-01-23 18:29:01,20.625,15.875,4.75
09-01-23 18:30:01,20.625,16.0,4.625
09-01-23 18:31:01,20.5625,16.0625,4.5
09-01-23 18:32:01,20.4375,15.875,4.5625
09-01-23 18:33:01,20.375,15.375,5.0
09-01-23 18:34:02,20.3125,15.0625,5.1875
09-01-23 18:35:01,20.25,15.0625,5.125
09-01-23 18:36:01,20.1875,15.25,5.0
09-01-23 18:37:01,20.1875,15.25,4.9375
09-01-23 18:38:01,20.25,15.3125,4.875
09-01-23 18:39:01,20.25,15.1875,5.0625
09-01-23 18:40:01,20.25,15.25,5.0
09-01-23 18:41:02,20.3125,15.375,4.9375
09-01-23 18:42:01,20.3125,15.5625,4.9375
09-01-23 18:43:02,20.3125,15.6875,4.625
09-01-23 18:44:01,20.3125,15.8125,4.4375
09-01-23 18:45:01,20.3125,15.9375,4.375
09-01-23 18:46:01,20.3125,16.0,4.25
09-01-23 18:47:01,20.3125,16.1875,4.125
09-01-23 18:48:01,20.375,16.3125,4.125
09-01-23 18:49:01,20.375,16.375,3.9375
09-01-23 18:50:02,20.3125,16.5,3.875
09-01-23 18:51:01,20.375,16.625,3.75
09-01-23 18:52:01,20.375,16.6875,3.6875
09-01-23 18:53:01,20.375,16.8125,3.625
09-01-23 18:54:01,20.375,16.9375,3.5
09-01-23 18:55:02,20.375,17.0,3.375
