Tid,Rum Temp,Vandrør,Diff
11-01-23 00:00:01,22.375,21.5,0.875
11-01-23 00:01:02,22.375,21.5625,0.875
11-01-23 00:02:01,22.375,21.5625,0.875
11-01-23 00:03:01,22.375,21.5625,0.8125
11-01-23 00:04:01,22.375,21.5625,0.8125
11-01-23 00:05:01,22.375,21.5625,0.8125
11-01-23 00:06:01,22.375,21.5625,0.8125
11-01-23 00:07:01,22.375,21.5625,0.8125
11-01-23 00:08:02,22.375,21.625,0.8125
11-01-23 00:09:01,22.3125,21.625,0.6875
11-01-23 00:10:01,22.375,21.625,0.6875
11-01-23 00:11:01,22.375,21.625,0.75
11-01-23 00:12:01,22.375,21.625,0.75
11-01-23 00:13:01,22.375,21.6875,0.625
11-01-23 00:14:01,22.375,21.6875,0.75
11-01-23 00:15:02,22.375,21.6875,0.6875
11-01-23 00:16:01,22.375,21.6875,0.6875
11-01-23 00:17:01,22.375,21.6875,0.6875
11-01-23 00:18:01,22.375,21.6875,0.6875
11-01-23 00:19:01,22.375,21.75,0.625
11-01-23 00:20:01,22.375,21.75,0.625
11-01-23 00:21:01,22.375,21.75,0.6875
11-01-23 00:22:02,22.375,21.75,0.625
11-01-23 00:23:01,22.375,21.75,0.625
11-01-23 00:24:02,22.375,21.75,0.625
11-01-23 00:25:01,22.375,21.75,0.625
11-01-23 00:26:01,22.375,21.8125,0.5625
11-01-23 00:27:01,22.375,21.75,0.5625
11-01-23 00:28:01,22.375,21.8125,0.5625
11-01-23 00:29:01,22.375,21.8125,0.5625
11-01-23 00:30:01,22.375,21.8125,0.5625
11-01-23 00:31:02,22.375,21.8125,0.5625
11-01-23 00:32:01,22.375,21.875,0.5625
11-01-23 00:33:01,22.375,21.8125,0.5
11-01-23 00:34:01,22.3125,21.875,0.5
11-01-23 00:35:01,22.3125,21.875,0.5
11-01-23 00:36:01,22.375,21.875,0.5625
11-01-23 00:37:01,22.3125,21.8125,0.4375
11-01-23 00:38:02,22.3125,20.1875,2.125
11-01-23 00:39:01,22.3125,19.625,2.6875
11-01-23 00:40:01,22.3125,19.5,2.875
11-01-23 00:41:01,22.3125,19.4375,2.875
11-01-23 00:42:01,22.25,19.5,2.75
11-01-23 00:43:02,22.25,19.5625,2.6875
11-01-23 00:44:01,22.25,19.625,2.6875
11-01-23 00:45:02,22.25,19.625,2.625
11-01-23 00:46:01,22.25,19.6875,2.5
11-01-23 00:47:01,22.25,19.75,2.4375
11-01-23 00:48:01,22.25,19.8125,2.4375
11-01-23 00:49:01,22.25,19.875,2.3125
11-01-23 00:50:02,22.25,19.9375,2.25
11-01-23 00:51:01,22.25,20.0,2.25
11-01-23 00:52:01,22.25,20.0625,2.1875
11-01-23 00:53:01,22.25,20.125,2.125
11-01-23 00:54:01,22.1875,20.1875,2.0
11-01-23 00:55:01,22.25,20.25,2.0
11-01-23 00:56:01,22.25,20.25,2.0
11-01-23 00:57:02,22.25,20.3125,1.9375
